PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,,,
21,2026-01-15,29:15.4,6,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Solier, Julio",827632,Right,BOC_EAG,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.64039,-1.237027,1.807568,1610.590047,113.95065,9:45,5.92313,-1.16227,5.83895,-34.83159,8.90304,-16.43981,1.87005,-0.85174,72.94292,-7.715882,-1.14347,0.475975,,,,,,,,,,,,8.9454,5.4337,1.02448,50,5.80218,-3.04171,-116.89569,-3.60965,12.17059,25.47351,-24.78126,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,3e62aa30-f259-11f0-99a1-27b08f981295,79.18993,,,7.69746,,,,,,,,,
22,2026-01-15,29:33.8,6,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Solier, Julio",827632,Right,BOC_EAG,Undefined,1,Top,2,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,88.07287,-1.702147,0.928861,2134.558723,151.837465,11:00,6.04393,-1.01107,5.92945,-17.01406,19.3317,-9.66355,3.04614,-0.95447,79.67662,-4.966576,-0.806956,0.433909,95.25547,29.49885,22.728205,4159.074699,96.66827,57.48218,52.49032,317.78605,303.82146,37.542324,4.721404,5.24866,10.81827,0.94236,50,5.89844,-1.66834,-127.76643,-4.26708,8.57475,29.19274,-14.50021,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,4969b180-f259-11f0-99a1-27b08f981295,86.8672,73.41451,,8.39624,,,,0.64648,2.9021,0.91794,,,
23,2026-01-15,33:03.4,1,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Hendrickson, Carter",830138,Right,BOC_EAG,Undefined,1,Bottom,0,0,0,Slider,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,77.17729,-0.452472,2.622782,2442.021994,276.232652,3:15,5.14901,-1.87631,5.39899,-48.39814,0.57874,11.66032,0.69138,1.55486,69.69671,-9.293988,4.695581,0.503694,,,,,,,,,,,,-4.90335,1.03843,1.63409,50,5.07539,-5.57966,-111.66321,-2.49469,-6.0387,24.71342,-30.8952,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,c659f240-f259-11f0-99a1-27b08f981295,74.832,,,7.48058,,,,,,,,,
24,2026-01-15,33:43.9,2,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Larson, Colin",831502,Left,BOC_EAG,Undefined,1,Bottom,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.22206,0.010916,5.251928,2344.568172,315.922751,4:30,5.16583,-2.25238,5.38088,-54.04086,-4.49107,5.85551,0.6727,3.17256,70.25795,-9.741795,6.286506,0.506632,,,,,,,,,,,,-1.41532,-1.79102,1.77698,50,5.12861,-10.35389,-110.21605,-1.77791,-1.73321,20.39977,-34.36736,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,de75d240-f259-11f0-99a1-27b08f981295,74.39812,,,5.96411,,,,,,,,,
25,2026-01-15,34:03.9,2,2,"Mudd, Tyler",809052,Left,BOC_EAG,"Larson, Colin",831502,Left,BOC_EAG,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.70437,-3.797337,2.740995,2087.302042,162.317404,11:30,5.83272,-0.98003,6.01119,-17.03729,22.74348,-6.75095,0.88592,0.99858,76.00955,-7.093508,1.528391,0.45395,,,,,,,,,,,,4.41319,13.44292,0.7685,50,5.52495,-5.59137,-122.42383,-8.55024,6.55013,29.13191,-12.22177,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,ea4cacb0-f259-11f0-99a1-27b08f981295,83.03214,,,8.69482,,,,,,,,,
26,2026-01-15,34:42.7,2,3,"Mudd, Tyler",809052,Left,BOC_EAG,"Larson, Colin",831502,Left,BOC_EAG,Undefined,1,Bottom,0,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.27721,-1.681018,1.871063,2150.492224,164.456512,11:30,5.88951,-0.99047,6.00433,-17.9493,21.44682,-5.59551,2.83497,0.27742,76.65965,-5.122277,0.865351,0.45175,75.338,71.850407,165.704396,3684.347126,,,,,17.67717,,,3.45284,11.94981,0.84654,50,5.74763,-3.77893,-122.30104,-4.06181,5.19667,25.54321,-14.18913,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,01ad5300-f25a-11f0-99a1-27b08f981295,83.43651,52.06774,,7.61755,,,,2.2843,2.95798,-0.26579,,,
27,2026-01-15,35:36.3,2,4,"Mudd, Tyler",809052,Left,BOC_EAG,"Larson, Colin",831502,Left,BOC_EAG,Undefined,1,Bottom,0,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.54575,1.811609,1.421685,2250.435481,274.72114,3:15,5.3698,-2.03393,5.2359,-50.88231,0.7752,10.27359,2.83348,0.15875,68.35493,-7.451647,3.242504,0.517295,,,,,,,,,,,,-4.71142,0.39047,1.89524,50,5.49876,-3.07947,-108.12279,1.74323,-5.56608,19.20608,-31.71275,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,216a2bf0-f25a-11f0-99a1-27b08f981295,72.86453,,,6.19082,,,,,,,,,
28,2026-01-15,35:56.6,2,5,"Mudd, Tyler",809052,Left,BOC_EAG,"Larson, Colin",831502,Left,BOC_EAG,Undefined,1,Bottom,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.92279,-0.436728,2.90434,2148.562703,167.890728,11:30,5.9538,-0.97825,5.88498,-18.68158,19.67576,-3.93016,3.99093,1.39352,77.54075,-4.017116,2.200662,0.445754,,,,,,,,,,,,2.89536,10.5593,0.74594,50,5.90778,-6.14897,-124.48072,-1.45619,4.48973,27.72255,-15.80001,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,2d7005a0-f25a-11f0-99a1-27b08f981295,84.55875,,,8.38204,,,,,,,,,
29,2026-01-15,36:21.3,2,6,"Mudd, Tyler",809052,Left,BOC_EAG,"Larson, Colin",831502,Left,BOC_EAG,Undefined,1,Bottom,0,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.2362,-2.030945,1.220932,2125.89979,176.640091,12:00,5.90533,-0.87271,5.97399,-21.20674,19.54997,-1.0611,2.25411,0.17089,75.24453,-6.071661,1.030184,0.459485,,,,,,,,,,,,0.92874,11.09382,0.77668,50,5.73287,-2.52883,-120.65167,-4.85094,1.35039,26.45539,-16.04396,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,3c452bf0-f25a-11f0-99a1-27b08f981295,82.03201,,,7.99167,,,,,,,,,
30,2026-01-15,37:08.1,3,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Mainolfi, Ty",1000275825,Right,BOC_EAG,Undefined,1,Bottom,1,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.04148,0.594637,1.976458,2279.101307,286.480108,3:30,5.36959,-1.91072,5.17741,-49.86684,-1.49913,10.08627,1.7739,0.79028,70.97349,-8.433663,3.762934,0.500552,65.58954,42.21849,-54.504371,4296.873838,47.94183,60.85028,-99.00263,221.26762,114.26683,-68.833071,4.116032,-4.51335,-0.52516,1.71869,50,5.38663,-4.25085,-111.80272,-0.54697,-5.70798,20.31232,-32.83823,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,58396420-f25a-11f0-99a1-27b08f981295,75.30175,60.98294,,6.06799,,,,0.79664,1.62903,-0.70881,,,
